Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=7554e5017bef968e,"[대형증권사] LP/MM 시스템 개발 및 운영,유지보수",,,레이딩 시스템에 대한 이해 및 열정 보유 <우대사항>C++/JAVA/ Python 프로그래밍 가능 0 명 근무조건 고용형태: 정규직급여조건: 연봉 협의... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=dc793caf2ce3e2bb,1분기 게임 서버 개발자 (신입/경력),,,"프로그래밍 언어로 소프트웨어를 개발한 경험이 있는 분 * C/C++, C#, JavaScript, Python, Go.새로운 프로그래밍 언어를 습득하는데 어려움이 없거나 혹은 흥미를 갖고 있는 분OS/System..."
https://kr.indeed.com/viewjob?jk=af3a0bdb8549357f,한국전자금융 상반기 각 부문 신입/경력 직원,,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷...
https://kr.indeed.com/viewjob?jk=cb973769974700e0,"Software Engineer, Android Connectivity",,,"one or more... following languages: C, C++, Java, or Python. Preferred qualifications: 5 years of experience in Android..."
https://kr.indeed.com/viewjob?jk=6d86e9f32d31c84f,Data 분야 경력,,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
https://kr.indeed.com/viewjob?jk=10679c9aa5295b50,Software Performance Optimization Engineer,,"연봉 80,000,000원 - 200,000,000원",통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데...
https://kr.indeed.com/viewjob?jk=9f0ce22eee4259bb,"교육 기획/운영, 시스템 기획",,"연봉 32,000,000원 - 36,000,000원","Science, Data Science, AI, Algorithm, Python 등... 데이터 분석, 인공지능, 프로그래밍 언어) 교육에 관심... AI, Algorithm, Python 등)• IT(데이터 분석, 인공지능..."
https://kr.indeed.com/viewjob?jk=b02be4ea99e5903d,[Engineering Div.] Esports Engineer (4년 이상),,,"개발 Python, C#(.NET Core), Javascript, Docker, AWS 이런 경험을 가진 분과 함께 성장하고 싶습니다! Python... 래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python..."
https://kr.indeed.com/viewjob?jk=abd402d5bde5914f,[TmaxOS/R&D] OS부문 개발자,,,CD 개발 운영 [주 사용 언어] - C/C++ - JavaScript/TypeScript - Java - Python 자격요건 - 4년제 대졸(학사) 이상 / 기졸업자 또는 22년 8월 졸업 예정자 - 컴퓨터 및 전산관련...
https://kr.indeed.com/viewjob?jk=f94102acc758f433,Explainable AI 연구 개발 신입 채용,,,"분야 박사 학력 이상(졸업예정 포함) - 연구에 필요한 필수 기술 능통( Python, R, Mathlap 등 언어의 종류는 무관) [선호 경험/역량... 연구에 필요한 도구 및 언어에 능통 ( Python, R등의 언어 능력과..."
https://kr.indeed.com/viewjob?jk=e70488f1124a7249,클라우드 인프라 솔루션 개발,,,모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS
https://kr.indeed.com/viewjob?jk=26f2197e9551225a,내비게이션 맵매칭 및 정밀 측위 개발,,,터넷·IT·통신·모바일·게임>통신·모바일>광통신|인터넷·IT·통신·모바일·게임>통신·모바일>통신설계|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
https://kr.indeed.com/viewjob?jk=cb340349fea7454e,"Digital Innovation PM, Korea",,,"CRM systems, e.g Salesforce · Understanding of SQL, Python or other · Strong business and financial acumen and negotiations..."
https://kr.indeed.com/viewjob?jk=0ee8d206258d4cbf,소프트웨어 개발,,,"Detection 관련 AI 기술 기반 시스템 개발 ㆍ수집 및 가공 데이터의 효율적 관리 필수요건 ㆍC++, Python 중 하나 이상 사용 가능한 자 ㆍ영상처리, Vision 관련 머신 러닝, 딥러닝 기술경험자 학력 4..."
https://kr.indeed.com/viewjob?jk=a0e0d8e73f1bdc30,Data Engineer,,,"년 이상의 데이터 엔지니어 업무 경험이 있는 분특정 프로그래밍 언어( Python, Scala, Kotlin, Go, ...)를 능숙하게 사용하시는 분... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=24d8d3e602fd0ab5,(연세대의료원 심장생리연구실) 컴퓨터공학전공 연구원 (추가),,"연봉 25,000,000원 - 30,000,000원",통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>tensorflow|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이...
